Category: All categories

Week,IST:AKBNK: (Türkiye)
2017-01-15,0
2017-01-22,23
2017-01-29,0
2017-02-05,25
2017-02-12,0
2017-02-19,0
2017-02-26,41
2017-03-05,0
2017-03-12,0
2017-03-19,0
2017-03-26,30
2017-04-02,44
2017-04-09,0
2017-04-16,29
2017-04-23,0
2017-04-30,24
2017-05-07,33
2017-05-14,37
2017-05-21,53
2017-05-28,63
2017-06-04,0
2017-06-11,34
2017-06-18,68
2017-06-25,0
2017-07-02,0
2017-07-09,83
2017-07-16,21
2017-07-23,93
2017-07-30,39
2017-08-06,21
2017-08-13,27
2017-08-20,19
2017-08-27,26
2017-09-03,0
2017-09-10,0
2017-09-17,61
2017-09-24,47
2017-10-01,100
2017-10-08,0
2017-10-15,61
2017-10-22,55
2017-10-29,0
2017-11-05,96
2017-11-12,0
2017-11-19,52
2017-11-26,45
2017-12-03,54
2017-12-10,78
2017-12-17,43
2017-12-24,38
2017-12-31,0
2018-01-07,0
2018-01-14,25
2018-01-21,20
2018-01-28,0
2018-02-04,0
2018-02-11,0
2018-02-18,0
2018-02-25,0
2018-03-04,0
2018-03-11,0
2018-03-18,0
2018-03-25,0
2018-04-01,64
2018-04-08,0
2018-04-15,0
2018-04-22,0
2018-04-29,19
2018-05-06,0
2018-05-13,0
2018-05-20,0
2018-05-27,0
2018-06-03,42
2018-06-10,0
2018-06-17,0
2018-06-24,0
2018-07-01,0
2018-07-08,0
2018-07-15,0
2018-07-22,0
2018-07-29,0
2018-08-05,0
2018-08-12,17
2018-08-19,24
2018-08-26,0
2018-09-02,0
2018-09-09,0
2018-09-16,0
2018-09-23,0
2018-09-30,0
2018-10-07,0
2018-10-14,0
2018-10-21,52
2018-10-28,0
2018-11-04,0
2018-11-11,20
2018-11-18,0
2018-11-25,0
2018-12-02,39
2018-12-09,82
2018-12-16,0
2018-12-23,0
2018-12-30,0
2019-01-06,0
2019-01-13,0
