Category: All categories

Week,IST:VAKBN: (Türkiye)
2017-01-15,31
2017-01-22,13
2017-01-29,16
2017-02-05,7
2017-02-12,0
2017-02-19,0
2017-02-26,9
2017-03-05,16
2017-03-12,0
2017-03-19,0
2017-03-26,0
2017-04-02,6
2017-04-09,9
2017-04-16,0
2017-04-23,9
2017-04-30,0
2017-05-07,21
2017-05-14,14
2017-05-21,14
2017-05-28,7
2017-06-04,14
2017-06-11,49
2017-06-18,0
2017-06-25,9
2017-07-02,8
2017-07-09,16
2017-07-16,0
2017-07-23,16
2017-07-30,14
2017-08-06,0
2017-08-13,0
2017-08-20,17
2017-08-27,0
2017-09-03,0
2017-09-10,34
2017-09-17,0
2017-09-24,0
2017-10-01,0
2017-10-08,11
2017-10-15,10
2017-10-22,0
2017-10-29,15
2017-11-05,0
2017-11-12,11
2017-11-19,16
2017-11-26,0
2017-12-03,9
2017-12-10,13
2017-12-17,0
2017-12-24,33
2017-12-31,13
2018-01-07,0
2018-01-14,12
2018-01-21,12
2018-01-28,16
2018-02-04,30
2018-02-11,13
2018-02-18,9
2018-02-25,0
2018-03-04,22
2018-03-11,29
2018-03-18,7
2018-03-25,40
2018-04-01,14
2018-04-08,14
2018-04-15,12
2018-04-22,0
2018-04-29,25
2018-05-06,18
2018-05-13,0
2018-05-20,7
2018-05-27,24
2018-06-03,17
2018-06-10,23
2018-06-17,0
2018-06-24,0
2018-07-01,18
2018-07-08,41
2018-07-15,38
2018-07-22,78
2018-07-29,19
2018-08-05,30
2018-08-12,72
2018-08-19,0
2018-08-26,35
2018-09-02,50
2018-09-09,76
2018-09-16,59
2018-09-23,66
2018-09-30,100
2018-10-07,75
2018-10-14,61
2018-10-21,38
2018-10-28,40
2018-11-04,52
2018-11-11,44
2018-11-18,26
2018-11-25,49
2018-12-02,36
2018-12-09,46
2018-12-16,39
2018-12-23,33
2018-12-30,11
2019-01-06,54
2019-01-13,37
