Category: All categories

Week,IST:ARCLK: (Türkiye)
2017-01-15,17
2017-01-22,0
2017-01-29,0
2017-02-05,14
2017-02-12,0
2017-02-19,0
2017-02-26,27
2017-03-05,32
2017-03-12,27
2017-03-19,25
2017-03-26,12
2017-04-02,57
2017-04-09,0
2017-04-16,19
2017-04-23,13
2017-04-30,24
2017-05-07,0
2017-05-14,11
2017-05-21,25
2017-05-28,9
2017-06-04,19
2017-06-11,39
2017-06-18,0
2017-06-25,15
2017-07-02,0
2017-07-09,0
2017-07-16,0
2017-07-23,0
2017-07-30,11
2017-08-06,11
2017-08-13,9
2017-08-20,0
2017-08-27,20
2017-09-03,14
2017-09-10,18
2017-09-17,37
2017-09-24,9
2017-10-01,23
2017-10-08,18
2017-10-15,10
2017-10-22,63
2017-10-29,40
2017-11-05,20
2017-11-12,29
2017-11-19,55
2017-11-26,33
2017-12-03,24
2017-12-10,40
2017-12-17,0
2017-12-24,29
2017-12-31,28
2018-01-07,36
2018-01-14,44
2018-01-21,50
2018-01-28,69
2018-02-04,22
2018-02-11,17
2018-02-18,47
2018-02-25,48
2018-03-04,58
2018-03-11,47
2018-03-18,30
2018-03-25,0
2018-04-01,28
2018-04-08,47
2018-04-15,44
2018-04-22,51
2018-04-29,52
2018-05-06,49
2018-05-13,47
2018-05-20,19
2018-05-27,27
2018-06-03,34
2018-06-10,0
2018-06-17,20
2018-06-24,54
2018-07-01,38
2018-07-08,70
2018-07-15,58
2018-07-22,100
2018-07-29,85
2018-08-05,54
2018-08-12,58
2018-08-19,0
2018-08-26,30
2018-09-02,59
2018-09-09,25
2018-09-16,59
2018-09-23,51
2018-09-30,66
2018-10-07,67
2018-10-14,55
2018-10-21,46
2018-10-28,83
2018-11-04,70
2018-11-11,26
2018-11-18,37
2018-11-25,43
2018-12-02,12
2018-12-09,58
2018-12-16,42
2018-12-23,28
2018-12-30,0
2019-01-06,9
2019-01-13,44
