Category: All categories

Week,IST:TCELL: (Türkiye)
2017-01-15,35
2017-01-22,33
2017-01-29,37
2017-02-05,30
2017-02-12,17
2017-02-19,11
2017-02-26,0
2017-03-05,17
2017-03-12,17
2017-03-19,38
2017-03-26,52
2017-04-02,41
2017-04-09,24
2017-04-16,38
2017-04-23,46
2017-04-30,75
2017-05-07,44
2017-05-14,45
2017-05-21,71
2017-05-28,38
2017-06-04,61
2017-06-11,75
2017-06-18,47
2017-06-25,0
2017-07-02,68
2017-07-09,20
2017-07-16,39
2017-07-23,47
2017-07-30,45
2017-08-06,17
2017-08-13,67
2017-08-20,42
2017-08-27,22
2017-09-03,15
2017-09-10,50
2017-09-17,41
2017-09-24,29
2017-10-01,78
2017-10-08,29
2017-10-15,16
2017-10-22,41
2017-10-29,85
2017-11-05,49
2017-11-12,54
2017-11-19,0
2017-11-26,22
2017-12-03,51
2017-12-10,60
2017-12-17,33
2017-12-24,28
2017-12-31,53
2018-01-07,48
2018-01-14,56
2018-01-21,29
2018-01-28,71
2018-02-04,40
2018-02-11,35
2018-02-18,17
2018-02-25,0
2018-03-04,0
2018-03-11,9
2018-03-18,0
2018-03-25,0
2018-04-01,0
2018-04-08,0
2018-04-15,0
2018-04-22,25
2018-04-29,18
2018-05-06,0
2018-05-13,0
2018-05-20,0
2018-05-27,13
2018-06-03,0
2018-06-10,0
2018-06-17,0
2018-06-24,51
2018-07-01,46
2018-07-08,48
2018-07-15,0
2018-07-22,46
2018-07-29,48
2018-08-05,22
2018-08-12,95
2018-08-19,43
2018-08-26,48
2018-09-02,86
2018-09-09,100
2018-09-16,28
2018-09-23,0
2018-09-30,0
2018-10-07,0
2018-10-14,0
2018-10-21,0
2018-10-28,0
2018-11-04,0
2018-11-11,0
2018-11-18,21
2018-11-25,0
2018-12-02,0
2018-12-09,9
2018-12-16,0
2018-12-23,0
2018-12-30,0
2019-01-06,14
2019-01-13,0
