Category: All categories

Week,IST:THYAO: (Türkiye)
2017-01-15,65
2017-01-22,78
2017-01-29,87
2017-02-05,85
2017-02-12,81
2017-02-19,59
2017-02-26,53
2017-03-05,63
2017-03-12,70
2017-03-19,74
2017-03-26,48
2017-04-02,49
2017-04-09,51
2017-04-16,61
2017-04-23,88
2017-04-30,53
2017-05-07,76
2017-05-14,72
2017-05-21,86
2017-05-28,72
2017-06-04,79
2017-06-11,67
2017-06-18,68
2017-06-25,63
2017-07-02,82
2017-07-09,92
2017-07-16,93
2017-07-23,79
2017-07-30,66
2017-08-06,74
2017-08-13,75
2017-08-20,70
2017-08-27,41
2017-09-03,56
2017-09-10,78
2017-09-17,75
2017-09-24,86
2017-10-01,73
2017-10-08,96
2017-10-15,71
2017-10-22,80
2017-10-29,71
2017-11-05,92
2017-11-12,96
2017-11-19,79
2017-11-26,100
2017-12-03,73
2017-12-10,70
2017-12-17,77
2017-12-24,62
2017-12-31,60
2018-01-07,75
2018-01-14,76
2018-01-21,66
2018-01-28,59
2018-02-04,68
2018-02-11,59
2018-02-18,44
2018-02-25,19
2018-03-04,34
2018-03-11,52
2018-03-18,77
2018-03-25,56
2018-04-01,65
2018-04-08,85
2018-04-15,88
2018-04-22,77
2018-04-29,71
2018-05-06,65
2018-05-13,56
2018-05-20,31
2018-05-27,26
2018-06-03,34
2018-06-10,37
2018-06-17,21
2018-06-24,12
2018-07-01,34
2018-07-08,44
2018-07-15,35
2018-07-22,0
2018-07-29,0
2018-08-05,0
2018-08-12,3
2018-08-19,0
2018-08-26,0
2018-09-02,0
2018-09-09,2
2018-09-16,65
2018-09-23,63
2018-09-30,63
2018-10-07,73
2018-10-14,98
2018-10-21,86
2018-10-28,93
2018-11-04,99
2018-11-11,74
2018-11-18,83
2018-11-25,61
2018-12-02,69
2018-12-09,57
2018-12-16,62
2018-12-23,53
2018-12-30,39
2019-01-06,43
2019-01-13,75
