Category: All categories

Week,IST:TUPRS: (Türkiye)
2017-01-15,16
2017-01-22,16
2017-01-29,17
2017-02-05,30
2017-02-12,18
2017-02-19,14
2017-02-26,15
2017-03-05,12
2017-03-12,3
2017-03-19,15
2017-03-26,10
2017-04-02,15
2017-04-09,24
2017-04-16,14
2017-04-23,19
2017-04-30,10
2017-05-07,13
2017-05-14,15
2017-05-21,14
2017-05-28,6
2017-06-04,18
2017-06-11,10
2017-06-18,8
2017-06-25,8
2017-07-02,11
2017-07-09,18
2017-07-16,15
2017-07-23,10
2017-07-30,27
2017-08-06,32
2017-08-13,26
2017-08-20,29
2017-08-27,0
2017-09-03,24
2017-09-10,18
2017-09-17,22
2017-09-24,31
2017-10-01,26
2017-10-08,40
2017-10-15,25
2017-10-22,22
2017-10-29,31
2017-11-05,87
2017-11-12,78
2017-11-19,56
2017-11-26,50
2017-12-03,43
2017-12-10,38
2017-12-17,80
2017-12-24,56
2017-12-31,40
2018-01-07,51
2018-01-14,59
2018-01-21,49
2018-01-28,66
2018-02-04,66
2018-02-11,59
2018-02-18,85
2018-02-25,56
2018-03-04,46
2018-03-11,53
2018-03-18,65
2018-03-25,100
2018-04-01,60
2018-04-08,62
2018-04-15,53
2018-04-22,29
2018-04-29,31
2018-05-06,69
2018-05-13,64
2018-05-20,58
2018-05-27,73
2018-06-03,53
2018-06-10,34
2018-06-17,52
2018-06-24,51
2018-07-01,32
2018-07-08,63
2018-07-15,56
2018-07-22,55
2018-07-29,41
2018-08-05,65
2018-08-12,51
2018-08-19,5
2018-08-26,34
2018-09-02,31
2018-09-09,44
2018-09-16,20
2018-09-23,30
2018-09-30,42
2018-10-07,43
2018-10-14,45
2018-10-21,43
2018-10-28,35
2018-11-04,76
2018-11-11,47
2018-11-18,38
2018-11-25,43
2018-12-02,25
2018-12-09,26
2018-12-16,35
2018-12-23,48
2018-12-30,27
2019-01-06,22
2019-01-13,36
